Problem:    pfsp
Rows:       8021
Columns:    591 (190 integer, 190 binary)
Non-zeros:  23621
Status:     INTEGER NON-OPTIMAL
Objective:  makespan = 2837 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 makespan                 2837                             
   183 rest2[9,11]               116            47               
   184 rest2[9,12]                60            60               
   185 rest2[9,13]               181            98               
   186 rest2[9,14]               128            70               
   187 rest2[9,15]                54             1               
   188 rest2[9,16]                86            86               
   189 rest2[9,17]                99            99               
   190 rest2[9,18]               148            36               
   191 rest2[9,19]                50            50               
   192 rest2[9,20]                79            41               
   193 rest2[10,2]               101            25               
   194 rest2[10,3]               195            59               
   195 rest2[10,4]                38            38               
   196 rest2[10,5]                89            89               
   197 rest2[10,6]               136            49               
   198 rest2[10,7]                95            51               
   199 rest2[10,8]                50            50               
   200 rest2[10,9]                91            91               
   201 rest2[10,10]              102             1               
   202 rest2[10,11]               60            60               
   203 rest2[10,12]               80            80               
   204 rest2[10,13]              165            96               
   205 rest2[10,14]               51            51               
   206 rest2[10,15]              203            24               
   207 rest2[10,16]               76            34               
   208 rest2[10,17]               94            39               
   209 rest2[10,18]              113            74               
   210 rest2[10,19]               98            26               
   211 rest2[10,20]               73            32               
   212 rest2[11,2]               109            32               
   213 rest2[11,3]                59             8               
   214 rest2[11,4]                76            33               
   215 rest2[11,5]               125            82               
   216 rest2[11,6]                36            36               
   217 rest2[11,7]                94             3               
   218 rest2[11,8]                87            87               
   219 rest2[11,9]                32            32               
   220 rest2[11,10]              151            15               
   221 rest2[11,11]                9             9               
   222 rest2[11,12]              102             8               
   223 rest2[11,13]              232            81               
   224 rest2[11,14]               36            36               
   225 rest2[11,15]              147            57               
   226 rest2[11,16]               94            94               
   227 rest2[11,17]               93            93               
   228 rest2[11,18]              179            84               
   229 rest2[11,19]               66            12               
   230 rest2[11,20]               81            19               
   231 rest2[12,2]               138            91               
   232 rest2[12,3]               208            16               
   233 rest2[12,4]                67            18               
   234 rest2[12,5]                75            33               
   235 rest2[12,6]                72            31               
   236 rest2[12,7]                79            13               
   237 rest2[12,8]               106            64               
   238 rest2[12,9]               117            26               
   239 rest2[12,10]               33            33               
   240 rest2[12,11]              110            27               
   241 rest2[12,12]               85            52               
   242 rest2[12,13]              206            77               
   243 rest2[12,14]              105            16               
   244 rest2[12,15]               28            28               
   245 rest2[12,16]              127            30               
   246 rest2[12,17]               81            51               
   247 rest2[12,18]               98             1               
   248 rest2[12,19]               88            39               
   249 rest2[12,20]              120            80               
   250 rest2[13,2]               230            41               
   251 rest2[13,3]               161            69               
   252 rest2[13,4]                90            90               
   253 rest2[13,5]                86            86               
   254 rest2[13,6]               112            76               
   255 rest2[13,7]                90            90               
   256 rest2[13,8]                79            79               
   257 rest2[13,9]                68            68               
   258 rest2[13,10]               85            85               
   259 rest2[13,11]              101            34               
   260 rest2[13,12]               92            92               
   261 rest2[13,13]              183            44               
   262 rest2[13,14]               93            93               
   263 rest2[13,15]                1             1               
   264 rest2[13,16]              123            48               
   265 rest2[13,17]               87            33               
   266 rest2[13,18]              141            27               
   267 rest2[13,19]               62            62               
   268 rest2[13,20]              139            40               
   269 rest2[14,2]               111            10               
   270 rest2[14,3]               113            76               
   271 rest2[14,4]                65            65               
   272 rest2[14,5]                96            14               
   273 rest2[14,6]                97            97               
   274 rest2[14,7]                96            96               
   275 rest2[14,8]               108            38               
   276 rest2[14,9]                63            44               
   277 rest2[14,10]               84            84               
   278 rest2[14,11]               27            27               
   279 rest2[14,12]               21            21               
   280 rest2[14,13]              276            65               
   281 rest2[14,14]               46            46               
   282 rest2[14,15]              166            38               
   283 rest2[14,16]               11            11               
   284 rest2[14,17]              174            92               
   285 rest2[14,18]              146            59               
   286 rest2[14,19]               88            69               
   287 rest2[14,20]               71            71               
   288 rest2[15,2]                51            37               
   289 rest2[15,3]                91            91               
   290 rest2[15,4]               178            18               
   291 rest2[15,5]               104            39               
   292 rest2[15,6]                15            15               
   293 rest2[15,7]                73            73               
   294 rest2[15,8]                60            60               
   295 rest2[15,9]                70            70               
   296 rest2[15,10]              153            68               
   297 rest2[15,11]               66            11               
   298 rest2[15,12]               39            39               
   299 rest2[15,13]              222            84               
   300 rest2[15,14]               71            14               
   301 rest2[15,15]              171            25               
   302 rest2[15,16]               40            40               
   303 rest2[15,17]               97            75               
   304 rest2[15,18]              152            82               
   305 rest2[15,19]               84            84               
   306 rest2[15,20]              107            58               
   307 rest2[16,2]                24            23               
   308 rest2[16,3]                81            81               
   309 rest2[16,4]               169            90               
   310 rest2[16,5]                97            97               
   311 rest2[16,6]                23            23               
   312 rest2[16,7]                76            76               
   313 rest2[16,8]                62            36               
   314 rest2[16,9]                60            60               
   315 rest2[16,10]              222            25               
   316 rest2[16,11]               42             3               
   317 rest2[16,12]               64            24               
   318 rest2[16,13]              159            87               
   319 rest2[16,14]              135            23               
   320 rest2[16,15]               97            97               
   321 rest2[16,16]               93            44               
   322 rest2[16,17]               99            42               
   323 rest2[16,18]              123            71               
   324 rest2[16,19]              116            39               
   325 rest2[16,20]              112            34               
   326 rest2[17,2]                76            34               
   327 rest2[17,3]                86            15               
   328 rest2[17,4]                99            99               
   329 rest2[17,5]                32            32               
   330 rest2[17,6]               141            15               
   331 rest2[17,7]                 8             8               
   332 rest2[17,8]                40            40               
   333 rest2[17,9]                98            98               
   334 rest2[17,10]              294            26               
   335 rest2[17,11]               34            34               
   336 rest2[17,12]               69            29               
   337 rest2[17,13]               94            94               
   338 rest2[17,14]              137            92               
   339 rest2[17,15]              128            61               
   340 rest2[17,16]              128            26               
   341 rest2[17,17]               68            57               
   342 rest2[17,18]              134            46               
   343 rest2[17,19]              102            60               
   344 rest2[17,20]              153            19               
   345 rest2[18,2]                10            10               
   346 rest2[18,3]               104            87               
   347 rest2[18,4]                73            73               
   348 rest2[18,5]                84            84               
   349 rest2[18,6]                72             5               
   350 rest2[18,7]                51            47               
   351 rest2[18,8]                69            57               
   352 rest2[18,9]                 8             4               
   353 rest2[18,10]               88            88               
   354 rest2[18,11]               89            89               
   355 rest2[18,12]               95            95               
   356 rest2[18,13]               74            17               
   357 rest2[18,14]              353            64               
   358 rest2[18,15]              210            46               
   359 rest2[18,16]               90            15               
   360 rest2[18,17]               63            63               
   361 rest2[18,18]               81            61               
   362 rest2[18,19]               88            68               
   363 rest2[18,20]              199            75               
   364 rest2[19,2]                69            52               
   365 rest2[19,3]                69            69               
   366 rest2[19,4]               112            52               
   367 rest2[19,5]                44            44               
   368 rest2[19,6]                55            51               
   369 rest2[19,7]                69            69               
   370 rest2[19,8]                26            26               
   371 rest2[19,9]               131            42               
   372 rest2[19,10]               28            28               
   373 rest2[19,11]               68            68               
   374 rest2[19,12]              278            73               
   375 rest2[19,13]               84            83               
   376 rest2[19,14]              156            64               
   377 rest2[19,15]              169            23               
   378 rest2[19,16]              109            42               
   379 rest2[19,17]              102             8               
   380 rest2[19,18]               71            71               
   381 rest2[19,19]               95            78               
   382 rest2[19,20]              176            55               
   383 rest2[20,2]                22            22               
   384 rest2[20,3]                72            72               
   385 rest2[20,4]                80            65               
   386 rest2[20,5]                 8             8               
   387 rest2[20,6]                94            94               
   388 rest2[20,7]                85            85               
   389 rest2[20,8]               100            54               
   390 rest2[20,9]                31            31               
   391 rest2[20,10]               76            39               
   392 rest2[20,11]               66            66               
   393 rest2[20,12]              111            50               
   394 rest2[20,13]               62            62               
   395 rest2[20,14]              414             1               
   396 rest2[20,15]               53            53               
   397 rest2[20,16]               78            78               
   398 rest2[20,17]              172             5               
   399 rest2[20,18]               71            71               
   400 rest2[20,19]              123            36               
   401 rest2[20,20]               41            41               
   402 rest3[2,1,1]              976            38               
   403 rest3[2,1,2]             1407             5               
   404 rest3[2,1,3]             1399            16               
   405 rest3[2,1,4]             1431            88               
   406 rest3[2,1,5]             1468            14               
   407 rest3[2,1,6]             1444            60               
   408 rest3[2,1,7]             1547            62               
   409 rest3[2,1,8]             1560            27               
   410 rest3[2,1,9]             1523            54               
   411 rest3[2,1,10]
                                1481            76               
   412 rest3[2,1,11]
                                1620            36               
   413 rest3[2,1,12]
                                1638            58               
   414 rest3[2,1,13]
                                1804            15               
   415 rest3[2,1,14]
                                1766            58               
   416 rest3[2,1,15]
                                1829            70               
   417 rest3[2,1,16]
                                1762            89               
   418 rest3[2,1,17]
                                1129            66               
   419 rest3[2,1,18]
                                1136            89               
   420 rest3[2,1,19]
                                 979            77               
   421 rest3[2,1,20]
                                1048            17               
   422 rest3[3,1,1]               94            94               
   423 rest3[3,1,2]              453            40               
   424 rest3[3,1,3]               96            96               
   425 rest3[3,1,4]              171            35               
   426 rest3[3,1,5]              214             8               
   427 rest3[3,1,6]               43            43               
   428 rest3[3,1,7]              136            32               
   429 rest3[3,1,8]              127            49               
   430 rest3[3,1,9]               28            28               
   431 rest3[3,1,10]
                                   7             7               
   432 rest3[3,1,11]
                                  91            91               
   433 rest3[3,1,12]
                                  13            13               
   434 rest3[3,1,13]
                                  75            75               
   435 rest3[3,1,14]
                                  25            18               
   436 rest3[3,1,15]
                                 114            41               
   437 rest3[3,1,16]
                                  68            68               
   438 rest3[3,1,17]
                                 106            41               
   439 rest3[3,1,18]
                                  75            75               
   440 rest3[3,1,19]
                                  24            24               
   441 rest3[3,1,20]
                                  18            18               
   442 rest3[3,2,1]            99118            94               
   443 rest3[3,2,2]            99046            40               
   444 rest3[3,2,3]            98697            96               
   445 rest3[3,2,4]            98740            35               
   446 rest3[3,2,5]            98746             8               
   447 rest3[3,2,6]            98599            43               
   448 rest3[3,2,7]            98589            32               
   449 rest3[3,2,8]            98567            49               
   450 rest3[3,2,9]            98505            28               
   451 rest3[3,2,10]
                               98526             7               
   452 rest3[3,2,11]
                               98471            91               
   453 rest3[3,2,12]
                               98375            13               
   454 rest3[3,2,13]
                               98271            75               
   455 rest3[3,2,14]
                               98259            18               
   456 rest3[3,2,15]
                               98285            41               
   457 rest3[3,2,16]
                               98306            68               
   458 rest3[3,2,17]
                               98977            41               
   459 rest3[3,2,18]
                               98939            75               
   460 rest3[3,2,19]
                               99045            24               
   461 rest3[3,2,20]
                               98970            18               
   462 rest3[4,1,1]              190            96               
   463 rest3[4,1,2]              472            19               
   464 rest3[4,1,3]              195            99               
   465 rest3[4,1,4]              193            22               
   466 rest3[4,1,5]              237             7               
   467 rest3[4,1,6]              117            74               
   468 rest3[4,1,7]              209            73               
   469 rest3[4,1,8]              195            54               
   470 rest3[4,1,9]              120            92               
   471 rest3[4,1,10]
                                  57            50               
   472 rest3[4,1,11]
                                 130            39               
   473 rest3[4,1,12]
                                  68            55               
   474 rest3[4,1,13]
                                 130            55               
   475 rest3[4,1,14]
                                  41            16               
   476 rest3[4,1,15]
                                 171             3               
   477 rest3[4,1,16]
                                 165            28               
   478 rest3[4,1,17]
                                 175            69               
   479 rest3[4,1,18]
                                 173            98               
   480 rest3[4,1,19]
                                  89            27               
   481 rest3[4,1,20]
                                  79            61               
   482 rest3[4,2,1]            99214            96               
   483 rest3[4,2,2]            99065            19               
   484 rest3[4,2,3]            98796            99               
   485 rest3[4,2,4]            98762            22               
   486 rest3[4,2,5]            98769             7               
   487 rest3[4,2,6]            98673            74               
   488 rest3[4,2,7]            98662            73               
   489 rest3[4,2,8]            98635            54               
   490 rest3[4,2,9]            98597            92               
   491 rest3[4,2,10]
                               98576            50               
   492 rest3[4,2,11]
                               98510            39               
   493 rest3[4,2,12]
                               98430            55               
   494 rest3[4,2,13]
                               98326            55               
   495 rest3[4,2,14]
                               98275            16               
   496 rest3[4,2,15]
                               98342             3               
   497 rest3[4,2,16]
                               98403            28               
   498 rest3[4,2,17]
                               99046            69               
   499 rest3[4,2,18]
                               99037            98               
   500 rest3[4,2,19]
                               99110            27               
   501 rest3[4,2,20]
                               99031            61               
   502 rest3[4,3,1]               96            96               
   503 rest3[4,3,2]               19            19               
   504 rest3[4,3,3]               99            99               
   505 rest3[4,3,4]               22            22               
   506 rest3[4,3,5]               23             7               
   507 rest3[4,3,6]               74            74               
   508 rest3[4,3,7]               73            73               
   509 rest3[4,3,8]               68            54               
   510 rest3[4,3,9]               92            92               
   511 rest3[4,3,10]
                                  50            50               
   512 rest3[4,3,11]
                                  39            39               
   513 rest3[4,3,12]
                                  55            55               
   514 rest3[4,3,13]
                                  55            55               
   515 rest3[4,3,14]
                                  16            16               
   516 rest3[4,3,15]
                                  57             3               
   517 rest3[4,3,16]
                                  97            28               
   518 rest3[4,3,17]
                                  69            69               
   519 rest3[4,3,18]
                                  98            98               
   520 rest3[4,3,19]
                                  65            27               
   521 rest3[4,3,20]
                                  61            61               
   522 rest3[5,1,1]              270            80               
   523 rest3[5,1,2]              473             1               
   524 rest3[5,1,3]              219            24               
   525 rest3[5,1,4]              239            46               
   526 rest3[5,1,5]              252            15               
   527 rest3[5,1,6]              190            20               
   528 rest3[5,1,7]              282            73               
   529 rest3[5,1,8]              220            23               
   530 rest3[5,1,9]              207            30               
   531 rest3[5,1,10]
                                  94            37               
   532 rest3[5,1,11]
                                 136             6               
   533 rest3[5,1,12]
                                 140            72               
   534 rest3[5,1,13]
                                 213            83               
   535 rest3[5,1,14]
                                 138            95               
   536 rest3[5,1,15]
                                 225            46               
   537 rest3[5,1,16]
                                 206            41               
   538 rest3[5,1,17]
                                 181             6               
   539 rest3[5,1,18]
                                 191             3               
   540 rest3[5,1,19]
                                  99            10               
   541 rest3[5,1,20]
                                  88             9               
   542 rest3[5,2,1]            99294            80               
   543 rest3[5,2,2]            99066             1               
   544 rest3[5,2,3]            98820            24               
   545 rest3[5,2,4]            98808            46               
   546 rest3[5,2,5]            98784            15               
   547 rest3[5,2,6]            98746            20               
   548 rest3[5,2,7]            98735            73               
   549 rest3[5,2,8]            98660            23               
   550 rest3[5,2,9]            98684            30               
   551 rest3[5,2,10]
                               98613            37               
   552 rest3[5,2,11]
                               98516             6               
   553 rest3[5,2,12]
                               98502            72               
   554 rest3[5,2,13]
                               98409            83               
   555 rest3[5,2,14]
                               98372            95               
   556 rest3[5,2,15]
                               98396            46               
   557 rest3[5,2,16]
                               98444            41               
   558 rest3[5,2,17]
                               99052             6               
   559 rest3[5,2,18]
                               99055             3               
   560 rest3[5,2,19]
                               99120            10               
   561 rest3[5,2,20]
                               99040             9               
   562 rest3[5,3,1]              176            80               
   563 rest3[5,3,2]               20             1               
   564 rest3[5,3,3]              123            24               
   565 rest3[5,3,4]               68            46               
   566 rest3[5,3,5]               38            15               
   567 rest3[5,3,6]              147            20               
   568 rest3[5,3,7]              146            73               
   569 rest3[5,3,8]               93            23               
   570 rest3[5,3,9]              179            30               
   571 rest3[5,3,10]
                                  87            37               
   572 rest3[5,3,11]
                                  45             6               
   573 rest3[5,3,12]
                                 127            72               
   574 rest3[5,3,13]
                                 138            83               
   575 rest3[5,3,14]
                                 113            95               
   576 rest3[5,3,15]
                                 111            46               
   577 rest3[5,3,16]
                                 138            41               
   578 rest3[5,3,17]
                                  75             6               
   579 rest3[5,3,18]
                                 116             3               
   580 rest3[5,3,19]
                                  75            10               
   581 rest3[5,3,20]
                                  70             9               
   582 rest3[5,4,1]               80            80               
   583 rest3[5,4,2]                1             1               
   584 rest3[5,4,3]               24            24               
   585 rest3[5,4,4]               46            46               
   586 rest3[5,4,5]               15            15               
   587 rest3[5,4,6]               73            20               
   588 rest3[5,4,7]               73            73               
   589 rest3[5,4,8]               25            23               
   590 rest3[5,4,9]               87            30               
   591 rest3[5,4,10]
                                  37            37               
   592 rest3[5,4,11]
                                   6             6               
   593 rest3[5,4,12]
                                  72            72               
   594 rest3[5,4,13]
                                  83            83               
   595 rest3[5,4,14]
                                  97            95               
   596 rest3[5,4,15]
                                  54            46               
   597 rest3[5,4,16]
                                  41            41               
   598 rest3[5,4,17]
                                   6             6               
   599 rest3[5,4,18]
                                  18             3               
   600 rest3[5,4,19]
                                  10            10               
   601 rest3[5,4,20]
                                   9             9               
   602 rest3[6,1,1]              432            93               
   603 rest3[6,1,2]              693            41               
   604 rest3[6,1,3]              568            50               
   605 rest3[6,1,4]              619            26               
   606 rest3[6,1,5]              580            35               
   607 rest3[6,1,6]              540            76               
   608 rest3[6,1,7]              594            81               
   609 rest3[6,1,8]              533            32               
   610 rest3[6,1,9]              471             7               
   611 rest3[6,1,10]
                                 437            60               
   612 rest3[6,1,11]
                                 536            29               
   613 rest3[6,1,12]
                                 502            98               
   614 rest3[6,1,13]
                                 452            82               
   615 rest3[6,1,14]
                                 428             1               
   616 rest3[6,1,15]
                                 485            46               
   617 rest3[6,1,16]
                                 414            93               
   618 rest3[6,1,17]
                                 391            74               
   619 rest3[6,1,18]
                                 405            34               
   620 rest3[6,1,19]
                                 314            34               
   621 rest3[6,1,20]
                                 239            76               
   622 rest3[6,2,1]            99456            93               
   623 rest3[6,2,2]            99286            41               
   624 rest3[6,2,3]            99169            50               
   625 rest3[6,2,4]            99188            26               
   626 rest3[6,2,5]            99112            35               
   627 rest3[6,2,6]            99096            76               
   628 rest3[6,2,7]            99047            81               
   629 rest3[6,2,8]            98973            32               
   630 rest3[6,2,9]            98948             7               
   631 rest3[6,2,10]
                               98956            60               
   632 rest3[6,2,11]
                               98916            29               
   633 rest3[6,2,12]
                               98864            98               
   634 rest3[6,2,13]
                               98648            82               
   635 rest3[6,2,14]
                               98662             1               
   636 rest3[6,2,15]
                               98656            46               
   637 rest3[6,2,16]
                               98652            93               
   638 rest3[6,2,17]
                               99262            74               
   639 rest3[6,2,18]
                               99269            34               
   640 rest3[6,2,19]
                               99335            34               
   641 rest3[6,2,20]
